index,year,month,dow,sex,count
577,1997,Jun,Mon,M,28121
578,1997,Jun,Tue,F,23799
579,1997,Jun,Tue,M,25237
580,1997,Jun,Wed,F,23443
581,1997,Jun,Wed,M,24598
582,1997,Jun,Thu,F,23300
583,1997,Jun,Thu,M,24754
584,1997,Jun,Fri,F,23074
585,1997,Jun,Fri,M,24231
586,1997,Jun,Sat,F,17198
587,1997,Jun,Sat,M,18288
588,1997,Jul,Sun,F,15758
589,1997,Jul,Sun,M,16413
590,1997,Jul,Mon,F,22262
591,1997,Jul,Mon,M,23353
592,1997,Jul,Tue,F,31205
593,1997,Jul,Tue,M,32817
594,1997,Jul,Wed,F,30399
595,1997,Jul,Wed,M,31924
596,1997,Jul,Thu,F,30248
597,1997,Jul,Thu,M,31419
598,1997,Jul,Fri,F,22394
599,1997,Jul,Fri,M,23503
600,1997,Jul,Sat,F,17125
601,1997,Jul,Sat,M,17994
602,1997,Aug,Sun,F,19820
603,1997,Aug,Sun,M,20695
604,1997,Aug,Mon,F,22082
605,1997,Aug,Mon,M,22900
606,1997,Aug,Tue,F,24413
607,1997,Aug,Tue,M,25913
608,1997,Aug,Wed,F,23805
609,1997,Aug,Wed,M,24916
610,1997,Aug,Thu,F,24105
611,1997,Aug,Thu,M,25013
612,1997,Aug,Fri,F,29620
613,1997,Aug,Fri,M,31371
614,1997,Aug,Sat,F,22083
615,1997,Aug,Sat,M,22720
616,1997,Sep,Sun,F,16004
617,1997,Sep,Sun,M,16934
618,1997,Sep,Mon,F,26523
619,1997,Sep,Mon,M,27401
620,1997,Sep,Tue,F,30137
621,1997,Sep,Tue,M,31738
622,1997,Sep,Wed,F,24316
623,1997,Sep,Wed,M,25618
624,1997,Sep,Thu,F,24346
625,1997,Sep,Thu,M,25138
626,1997,Sep,Fri,F,24003
627,1997,Sep,Fri,M,25500
628,1997,Sep,Sat,F,17646
629,1997,Sep,Sat,M,18608
630,1997,Oct,Sun,F,14862
631,1997,Oct,Sun,M,15854
632,1997,Oct,Mon,F,20970
633,1997,Oct,Mon,M,21981
634,1997,Oct,Tue,F,23395
635,1997,Oct,Tue,M,24468
636,1997,Oct,Wed,F,28531
637,1997,Oct,Wed,M,29905
638,1997,Oct,Thu,F,28548
639,1997,Oct,Thu,M,29484
640,1997,Oct,Fri,F,27743
641,1997,Oct,Fri,M,29065
642,1997,Oct,Sat,F,16596
643,1997,Oct,Sat,M,17549
644,1997,Nov,Sun,F,18942
645,1997,Nov,Sun,M,19933
646,1997,Nov,Mon,F,21594
647,1997,Nov,Mon,M,22675
648,1997,Nov,Tue,F,23731
649,1997,Nov,Tue,M,25177
650,1997,Nov,Wed,F,22437
651,1997,Nov,Wed,M,23545
652,1997,Nov,Thu,F,20730
653,1997,Nov,Thu,M,21589
654,1997,Nov,Fri,F,21700
655,1997,Nov,Fri,M,22681
656,1997,Nov,Sat,F,21060
657,1997,Nov,Sat,M,21795
658,1997,Dec,Sun,F,15056
659,1997,Dec,Sun,M,15632
660,1997,Dec,Mon,F,28092
661,1997,Dec,Mon,M,29116
662,1997,Dec,Tue,F,30308
663,1997,Dec,Tue,M,32164
664,1997,Dec,Wed,F,27764
665,1997,Dec,Wed,M,28971
666,1997,Dec,Thu,F,21276
667,1997,Dec,Thu,M,21600
668,1997,Dec,Fri,F,22169
669,1997,Dec,Fri,M,23253
670,1997,Dec,Sat,F,16566
671,1997,Dec,Sat,M,17635
672,1998,Jan,Sun,F,14982
673,1998,Jan,Sun,M,15767
674,1998,Jan,Mon,F,20552
675,1998,Jan,Mon,M,21684
676,1998,Jan,Tue,F,23046
677,1998,Jan,Tue,M,24297
678,1998,Jan,Wed,F,22292
679,1998,Jan,Wed,M,23848
680,1998,Jan,Thu,F,26518
681,1998,Jan,Thu,M,27944
682,1998,Jan,Fri,F,27321
683,1998,Jan,Fri,M,28509
684,1998,Jan,Sat,F,20960
685,1998,Jan,Sat,M,21853
686,1998,Feb,Sun,F,15437
687,1998,Feb,Sun,M,15933
688,1998,Feb,Mon,F,21218
689,1998,Feb,Mon,M,22138
690,1998,Feb,Tue,F,23518
691,1998,Feb,Tue,M,24460
692,1998,Feb,Wed,F,22995
693,1998,Feb,Wed,M,24374
694,1998,Feb,Thu,F,23261
695,1998,Feb,Thu,M,24243
696,1998,Feb,Fri,F,22644
697,1998,Feb,Fri,M,23584
698,1998,Feb,Sat,F,17237
699,1998,Feb,Sat,M,17909
700,1998,Mar,Sun,F,19025
701,1998,Mar,Sun,M,19766
702,1998,Mar,Mon,F,26778
703,1998,Mar,Mon,M,27696
704,1998,Mar,Tue,F,29744
705,1998,Mar,Tue,M,31065
706,1998,Mar,Wed,F,23112
707,1998,Mar,Wed,M,24099
708,1998,Mar,Thu,F,23050
709,1998,Mar,Thu,M,24624
710,1998,Mar,Fri,F,22869
711,1998,Mar,Fri,M,23518
712,1998,Mar,Sat,F,16713
713,1998,Mar,Sat,M,17651
714,1998,Apr,Sun,F,14516
715,1998,Apr,Sun,M,15406
716,1998,Apr,Mon,F,21067
717,1998,Apr,Mon,M,21941
718,1998,Apr,Tue,F,23862
719,1998,Apr,Tue,M,25025
720,1998,Apr,Wed,F,28492
721,1998,Apr,Wed,M,29726
722,1998,Apr,Thu,F,28861
723,1998,Apr,Thu,M,30416
724,1998,Apr,Fri,F,22533
725,1998,Apr,Fri,M,23933
726,1998,Apr,Sat,F,16847
727,1998,Apr,Sat,M,17406
728,1998,May,Sun,F,18990
729,1998,May,Sun,M,20119
730,1998,May,Mon,F,20230
731,1998,May,Mon,M,20810
732,1998,May,Tue,F,23890
733,1998,May,Tue,M,24953
734,1998,May,Wed,F,23616
735,1998,May,Wed,M,24945
736,1998,May,Thu,F,23943
737,1998,May,Thu,M,25197
738,1998,May,Fri,F,29538
739,1998,May,Fri,M,30818
740,1998,May,Sat,F,21336
741,1998,May,Sat,M,22379
742,1998,Jun,Sun,F,15159
743,1998,Jun,Sun,M,15982
744,1998,Jun,Mon,F,26733
745,1998,Jun,Mon,M,28634
746,1998,Jun,Tue,F,30004
747,1998,Jun,Tue,M,31690
748,1998,Jun,Wed,F,23592
749,1998,Jun,Wed,M,24652
750,1998,Jun,Thu,F,23489
751,1998,Jun,Thu,M,24556
752,1998,Jun,Fri,F,23151
753,1998,Jun,Fri,M,24400
754,1998,Jun,Sat,F,17079
755,1998,Jun,Sat,M,18261
756,1998,Jul,Sun,F,15575
757,1998,Jul,Sun,M,16340
758,1998,Jul,Mon,F,21928
759,1998,Jul,Mon,M,23237
760,1998,Jul,Tue,F,25210
761,1998,Jul,Tue,M,26239
762,1998,Jul,Wed,F,30793
763,1998,Jul,Wed,M,32411
764,1998,Jul,Thu,F,30590
765,1998,Jul,Thu,M,31837
766,1998,Jul,Fri,F,29183
767,1998,Jul,Fri,M,30451
768,1998,Jul,Sat,F,17097
769,1998,Jul,Sat,M,18101
770,1998,Aug,Sun,F,19845
771,1998,Aug,Sun,M,20831
772,1998,Aug,Mon,F,28057
773,1998,Aug,Mon,M,29495
774,1998,Aug,Tue,F,25099
775,1998,Aug,Tue,M,26356
776,1998,Aug,Wed,F,24263
777,1998,Aug,Wed,M,25564
778,1998,Aug,Thu,F,24487
779,1998,Aug,Thu,M,25643
780,1998,Aug,Fri,F,24356
